DataType,DataVendor,Description
App Usage,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
App Usage,QuandlData Aggregator,"Quandl is a platform for data that delivers a suite of unique, non-market data products atop a strong base of core financial and economic data. Founded in 2012; 49 employees."
App Usage,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
App Usage,SciDex AlphaData Aggregator,"Blockchain-based alternative data marketplace, currently populated with mostly demographic data. Founders are prioritizing getting more public and satellite data on the platform. Founded in 2018; 10 employees."
App Usage,StatlasData Aggregator,"Public data aggregator covering 15 sectors, focused largely on geo-location and satellite data. Founded in 2018; 3 employees."
App Usage,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
App Usage,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Credit/Debit Card,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Credit/Debit Card,QuandlData Aggregator,"Quandl is a platform for data that delivers a suite of unique, non-market data products atop a strong base of core financial and economic data. Founded in 2012; 49 employees."
Credit/Debit Card,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Credit/Debit Card,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Credit/Debit Card,SciDex AlphaData Aggregator,"Blockchain-based alternative data marketplace, currently populated with mostly demographic data. Founders are prioritizing getting more public and satellite data on the platform. Founded in 2018; 10 employees."
Credit/Debit Card,StatlasData Aggregator,"Public data aggregator covering 15 sectors, focused largely on geo-location and satellite data. Founded in 2018; 3 employees."
Credit/Debit Card,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Credit/Debit Card,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Credit/Debit Card,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Data Aggregator,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Data Aggregator,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Data Aggregator,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Data Aggregator,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Data Aggregator,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Data Aggregator,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Data Broker,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Data Broker,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Data Broker,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Data Broker,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Data Broker,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Geo-location,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Geo-location,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Geo-location,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Geo-location,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Geo-location,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Geo-location,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Geo-location,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Geo-location,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Geo-location,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Geo-location,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Email/Consumer Receipts,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Email/Consumer Receipts,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Email/Consumer Receipts,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Email/Consumer Receipts,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Email/Consumer Receipts,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Email/Consumer Receipts,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Email/Consumer Receipts,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Email/Consumer Receipts,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Email/Consumer Receipts,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Email/Consumer Receipts,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Primary Data Source,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Primary Data Source,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Primary Data Source,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Primary Data Source,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Primary Data Source,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Primary Data Source,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Primary Data Source,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Primary Data Source,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Primary Data Source,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Primary Data Source,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Public Data,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Public Data,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Public Data,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Public Data,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Public Data,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Public Data,Audit AnalyticsPublic Data,"Provides audit, regulatory, and disclosure intelligence and data. They specialize in normalizing non-quantitative aspects of financial reporting that have a demonstrated impact on company performance. Founded in 2003; 70 employees."
Public Data,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Public Data,YewnoPublic Data,"Data on quantity of intellectual property a company has across technologies with high growth expectations (e.g. blockchain, AI), as well as risk and market data. Founded in 2015; 20 employees."
Public Data,CropProphetPublic Data,Weather-focused US Grains yield and production forecast system. Founded in 2009; 3 employees.
Public Data,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Public Data,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Public Data,IPqweryPublic Data,"Collects corporate IP data (patent and trademark) from multiple public records offices across USA, Canada, and Europe. Founded in 2016; 5 employees."
Public Data,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Public Data,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Satellite,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Satellite,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Satellite,Orbital InsightSatellite,Satellite data with broad sector applications. Founded in 2013; 78 employees.
Satellite,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Satellite,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Satellite,RS MetricsSatellite,"Satellite data focused on metals and commodities, real estate and industrial sector applications. Founded in 2010; 50 employees."
Satellite,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Satellite,Audit AnalyticsPublic Data,"Provides audit, regulatory, and disclosure intelligence and data. They specialize in normalizing non-quantitative aspects of financial reporting that have a demonstrated impact on company performance. Founded in 2003; 70 employees."
Satellite,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Satellite,Bird.iSatellite,Satellite data covering construction and agriculture. Founded in 2014; 13 employees.
Satellite,Descartes LabsSatellite,Geospatial image processing – receive satellite imaging from public and commercial partners. Founded in 2014; 75 employees.
Satellite,YewnoPublic Data,"Data on quantity of intellectual property a company has across technologies with high growth expectations (e.g. blockchain, AI), as well as risk and market data. Founded in 2015; 20 employees."
Satellite,SpireSatellite,"Satellite data with broad sector applications, also provide weather data based on its satellite imaging. Founded in 2012; 116 employees."
Satellite,CropProphetPublic Data,Weather-focused US Grains yield and production forecast system. Founded in 2009; 3 employees.
Satellite,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Satellite,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Satellite,IPqweryPublic Data,"Collects corporate IP data (patent and trademark) from multiple public records offices across USA, Canada, and Europe. Founded in 2016; 5 employees."
Satellite,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Satellite,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Sell-side,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Sell-side,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Sell-side,Orbital InsightSatellite,Satellite data with broad sector applications. Founded in 2013; 78 employees.
Sell-side,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Sell-side,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Sell-side,RS MetricsSatellite,"Satellite data focused on metals and commodities, real estate and industrial sector applications. Founded in 2010; 50 employees."
Sell-side,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Sell-side,Audit AnalyticsPublic Data,"Provides audit, regulatory, and disclosure intelligence and data. They specialize in normalizing non-quantitative aspects of financial reporting that have a demonstrated impact on company performance. Founded in 2003; 70 employees."
Sell-side,BarchartOther,"Weather data and commodity bid data dating back to 2008, available in real-time and sourced from 3,500 locations. Founded in 2008; 49 employees."
Sell-side,Bird.iSatellite,Satellite data covering construction and agriculture. Founded in 2014; 13 employees.
Sell-side,Descartes LabsSatellite,Geospatial image processing – receive satellite imaging from public and commercial partners. Founded in 2014; 75 employees.
Sell-side,YewnoPublic Data,"Data on quantity of intellectual property a company has across technologies with high growth expectations (e.g. blockchain, AI), as well as risk and market data. Founded in 2015; 20 employees."
Sell-side,SpireSatellite,"Satellite data with broad sector applications, also provide weather data based on its satellite imaging. Founded in 2012; 116 employees."
Sell-side,CropProphetPublic Data,Weather-focused US Grains yield and production forecast system. Founded in 2009; 3 employees.
Sell-side,Second MeasureCredit/Debit Card,"Provides credit card transaction data and insights. Has raised $5.4M to date (Y Combinator, Jefferies). Founded in 2015; 35 employees (mostly engineers and data scientists; 40% PhDs)."
Sell-side,SafegraphGeo-location,"Geo-location data from over 50m mobile devices, tracked to 15m POI and 1000 brands. Has raised $16m in funding. Founded in 2016; 28 employees."
Sell-side,IPqweryPublic Data,"Collects corporate IP data (patent and trademark) from multiple public records offices across USA, Canada, and Europe. Founded in 2016; 5 employees."
Sell-side,BMLL TechnologyData Broker,Research platform for combining alternative datasets with order book data. Founded in 2014; 42 employees.
Sell-side,Anonymous ProviderOther,"Data on 20% of US household moves, available 4-8 weeks before the move event. Insight into retail (regional demographic shifts), insurance, cable/internet, and banking. Founded in 2016; 10 employees."
Social/Sentiment,AdvanGeo-location,"Mobile phone traffic data. 1,600 tickers covered across several sectors. US and EU focused. Founded in 2015; 50 employees."
Social/Sentiment,7ParkOther,"Transformation services to tag, organize, normalize, and model raw, unstructured data, used to create Leading Performance Indicators for over 1,000 companies from credit card, receipt, healthcare, maritime oil, location, app, housing, clickstream and open web data. Founded in 2012; 45 employees."
Social/Sentiment,Orbital InsightSatellite,Satellite data with broad sector applications. Founded in 2013; 78 employees.
Social/Sentiment,ThasosGeo-location,Geo-location data which can be used to measure consumer foot traffic. Founded in 2011; 21 employees.
Social/Sentiment,WoodseerOther,Dividend forecast data (dates and amounts) calculated 24 months in advance using a corporate actions database. Sell-side analysts review all forecasts.
Social/Sentiment,RS MetricsSatellite,"Satellite data focused on metals and commodities, real estate and industrial sector applications. Founded in 2010; 50 employees."
Social/Sentiment,Consumer EdgeCredit/Debit Card,"Credit card transaction panel of over 15mm users from hundreds of US banks. Also has merchant scanner data, Amazon basket tracking with 100k opt-in panel, and survey data. Founded in 2009; 28 employees."
Social/Sentiment,Audit AnalyticsPublic Data,"Provides audit, regulatory, and disclosure intelligence and data. They specialize in normalizing non-quantitative aspects of financial reporting that have a demonstrated impact on company performance. Founded in 2003; 70 employees."
